tips,Tip_Name,Order,Family,Genus,level0,level1,level2,level3,level4,level5,level6,level7
Agriornis_albicauda_L72330,PASSERIFORMES_Tyrannidae_Agriornis_albicauda,PASSERIFORMES,Tyrannidae,Agriornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Agriornis_lividus_YPM83046,PASSERIFORMES_Tyrannidae_Agriornis_lividus,PASSERIFORMES,Tyrannidae,Agriornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Agriornis_micropterus_A13502,PASSERIFORMES_Tyrannidae_Agriornis_micropterus,PASSERIFORMES,Tyrannidae,Agriornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Agriornis_montanus_L6710,PASSERIFORMES_Tyrannidae_Agriornis_montanus,PASSERIFORMES,Tyrannidae,Agriornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Agriornis_murinus_K11848,PASSERIFORMES_Tyrannidae_Agriornis_murinus,PASSERIFORMES,Tyrannidae,Agriornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
ailuroedus_buccoides_12226,PASSERIFORMES_Ptilonorhynchidae_Ailuroedus_buccoides,PASSERIFORMES,Ptilonorhynchidae,Ailuroedus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Aimophila_rufescens_UWBM93611,PASSERIFORMES_Passerellidae_Aimophila_rufescens,PASSERIFORMES,Passerellidae,Aimophila,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
ajaia_ajaja,PELECANIFORMES_Threskiornithidae_Platalea_ajaja,PELECANIFORMES,Threskiornithidae,Platalea,Neoaves,Phaethoquornithes,Aequornithes,Feraequornithes,Pelecanimorphae,Pelecanes,x,x
Akletos_goeldii_LSU21212,PASSERIFORMES_Thamnophilidae_Akletos_goeldii,PASSERIFORMES,Thamnophilidae,Akletos,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Akletos_melanoceps_L43013,PASSERIFORMES_Thamnophilidae_Akletos_melanoceps,PASSERIFORMES,Thamnophilidae,Akletos,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Alauda_arvensis_GCA_902810485,PASSERIFORMES_Alaudidae_Alauda_arvensis,PASSERIFORMES,Alaudidae,Alauda,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
alca_torda_b77512,CHARADRIIFORMES_Alcidae_Alca_torda,CHARADRIIFORMES,Alcidae,Alca,Neoaves,x,x,x,x,x,x,x
Alcedo_atthis_AMNHdot165,CORACIIFORMES_Alcedinidae_Alcedo_atthis,CORACIIFORMES,Alcedinidae,Alcedo,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Alcedo_euryzona_AMNHdot487,CORACIIFORMES_Alcedinidae_Alcedo_euryzona,CORACIIFORMES,Alcedinidae,Alcedo,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Alcedo_hercules_KUNHM10160,CORACIIFORMES_Alcedinidae_Alcedo_hercules,CORACIIFORMES,Alcedinidae,Alcedo,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
alcedo_leucogaster,CORACIIFORMES_Alcedinidae_Corythornis_leucogaster,CORACIIFORMES,Alcedinidae,Corythornis,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Alcedo_meninting_KUNHM17720,CORACIIFORMES_Alcedinidae_Alcedo_meninting,CORACIIFORMES,Alcedinidae,Alcedo,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Alcedo_quadribrachys_KUNHM20004,CORACIIFORMES_Alcedinidae_Alcedo_quadribrachys,CORACIIFORMES,Alcedinidae,Alcedo,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Alcedo_semitorquata_UWBM95253,CORACIIFORMES_Alcedinidae_Alcedo_semitorquata,CORACIIFORMES,Alcedinidae,Alcedo,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Alectoris_chukar_RTK383,GALLIFORMES_Phasianidae_Alectoris_chukar,GALLIFORMES,Phasianidae,Alectoris,Galloanserae,x,x,x,x,x,x,x
Alectoris_rufa_RTK384,GALLIFORMES_Phasianidae_Alectoris_rufa,GALLIFORMES,Phasianidae,Alectoris,Galloanserae,x,x,x,x,x,x,x
Alectrurus_risora_K3430,PASSERIFORMES_Tyrannidae_Alectrurus_risora,PASSERIFORMES,Tyrannidae,Alectrurus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Alectrurus_tricolor_K3596,PASSERIFORMES_Tyrannidae_Alectrurus_tricolor,PASSERIFORMES,Tyrannidae,Alectrurus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Alectura_lathami_UWBM55907,GALLIFORMES_Megapodiidae_Alectura_lathami,GALLIFORMES,Megapodiidae,Alectura,Galloanserae,x,x,x,x,x,x,x
Alipiopsitta_xanthops_FMNH350841,PSITTACIFORMES_Psittacidae_Alipiopsitta_xanthops,PSITTACIFORMES,Psittacidae,Alipiopsitta,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Alisterus_amboinensis_USNMHB6399,PSITTACIFORMES_Psittaculidae_Alisterus_amboinensis,PSITTACIFORMES,Psittaculidae,Alisterus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Alisterus_chloropterus_KU4860,PSITTACIFORMES_Psittaculidae_Alisterus_chloropterus,PSITTACIFORMES,Psittaculidae,Alisterus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Alisterus_scapularis_ANWCB53993,PSITTACIFORMES_Psittaculidae_Alisterus_scapularis,PSITTACIFORMES,Psittaculidae,Alisterus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_aestiva_LSUMZB31563,PSITTACIFORMES_Psittacidae_Amazona_aestiva,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_agilis_UF15273,PSITTACIFORMES_Psittacidae_Amazona_agilis,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_albifrons_UWBM69084,PSITTACIFORMES_Psittacidae_Amazona_albifrons,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_amazonica_DOT14616,PSITTACIFORMES_Psittacidae_Amazona_amazonica,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_arausiaca_AMNH783833_665102,PSITTACIFORMES_Psittacidae_Amazona_arausiaca,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_auropalliata_UWBM69049,PSITTACIFORMES_Psittacidae_Amazona_auropalliata,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
amazona_autumnalis,PSITTACIFORMES_Psittacidae_Amazona_autumnalis,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_barbadensis_YPM040836,PSITTACIFORMES_Psittacidae_Amazona_barbadensis,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_brasiliensis_AMNH475300,PSITTACIFORMES_Psittacidae_Amazona_brasiliensis,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_collaria_FMNH360314,PSITTACIFORMES_Psittacidae_Amazona_collaria,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_diadema_CMP93318,PSITTACIFORMES_Psittacidae_Amazona_diadema,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_dufresniana_USNMB632521,PSITTACIFORMES_Psittacidae_Amazona_dufresniana,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_farinosa_LSUMZB2202,PSITTACIFORMES_Psittacidae_Amazona_farinosa,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_festiva_LSUMZB36563,PSITTACIFORMES_Psittacidae_Amazona_festiva,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_finschi_LSUMZB24949,PSITTACIFORMES_Psittacidae_Amazona_finschi,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_guatemalae_DMNH34370,PSITTACIFORMES_Psittacidae_Amazona_guatemalae,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_guildingii_LSUMZB29822,PSITTACIFORMES_Psittacidae_Amazona_guildingii,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_imperialis_AMNH783831,PSITTACIFORMES_Psittacidae_Amazona_imperialis,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_kawalli_FMNH456462,PSITTACIFORMES_Psittacidae_Amazona_kawalli,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_leucocephala_DOT6817,PSITTACIFORMES_Psittacidae_Amazona_leucocephala,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_mercenarius_LSUMZB3514,PSITTACIFORMES_Psittacidae_Amazona_mercenarius,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_ochrocephala_LSUMZB9409,PSITTACIFORMES_Psittacidae_Amazona_ochrocephala,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_oratrix_AMNH706218,PSITTACIFORMES_Psittacidae_Amazona_oratrix,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_pretrei_AMNH321809,PSITTACIFORMES_Psittacidae_Amazona_pretrei,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_rhodocorytha_LACM26764,PSITTACIFORMES_Psittacidae_Amazona_rhodocorytha,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_tresmariae_LACM29686,PSITTACIFORMES_Psittacidae_Amazona_tresmariae,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_tucumana_UWBM77423,PSITTACIFORMES_Psittacidae_Amazona_tucumana,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_ventralis_KU8132,PSITTACIFORMES_Psittacidae_Amazona_ventralis,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_versicolor_AMNH781669,PSITTACIFORMES_Psittacidae_Amazona_versicolor,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_vinacea_AMNH10395,PSITTACIFORMES_Psittacidae_Amazona_vinacea,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_viridigenalis_388710AMNH,PSITTACIFORMES_Psittacidae_Amazona_viridigenalis,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_vittata,PSITTACIFORMES_Psittacidae_Amazona_vittata,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amazona_xantholora_CMP151985,PSITTACIFORMES_Psittacidae_Amazona_xantholora,PSITTACIFORMES,Psittacidae,Amazona,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Ammodramus_leconteii_UWBM80599,PASSERIFORMES_Passerellidae_Ammospiza_leconteii,PASSERIFORMES,Passerellidae,Ammospiza,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
ammodramus_savannarum_b8557,PASSERIFORMES_Passerellidae_Ammodramus_savannarum,PASSERIFORMES,Passerellidae,Ammodramus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Ammonastes_pelzelni_L7523,PASSERIFORMES_Thamnophilidae_Ammonastes_pelzelni,PASSERIFORMES,Thamnophilidae,Ammonastes,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Ammoperdix_heyi_LSUMZB20815,GALLIFORMES_Phasianidae_Ammoperdix_heyi,GALLIFORMES,Phasianidae,Ammoperdix,Galloanserae,x,x,x,x,x,x,x
Ampelioides_tschudii_L33807,PASSERIFORMES_Cotingidae_Ampelioides_tschudii,PASSERIFORMES,Cotingidae,Ampelioides,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Ampelion_rubrocristatus_L32291,PASSERIFORMES_Cotingidae_Ampelion_rubrocristatus,PASSERIFORMES,Cotingidae,Ampelion,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Ampelion_rufaxilla_L1673,PASSERIFORMES_Cotingidae_Ampelion_rufaxilla,PASSERIFORMES,Cotingidae,Ampelion,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Ampelornis_griseiceps_L66366,PASSERIFORMES_Thamnophilidae_Ampelornis_griseiceps,PASSERIFORMES,Thamnophilidae,Ampelornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amphispiza_bilineata_UWBM96901,PASSERIFORMES_Passerellidae_Amphispiza_bilineata,PASSERIFORMES,Passerellidae,Amphispiza,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Amytornis_striatus_ANWCB52263,PASSERIFORMES_Maluridae_Amytornis_striatus,PASSERIFORMES,Maluridae,Amytornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Anabacerthia_amaurotis_L35557,PASSERIFORMES_Furnariidae_Anabacerthia_amaurotis,PASSERIFORMES,Furnariidae,Anabacerthia,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Anabacerthia_lichtensteini_L25851,PASSERIFORMES_Furnariidae_Anabacerthia_lichtensteini,PASSERIFORMES,Furnariidae,Anabacerthia,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Anabacerthia_ruficaudata_L951,PASSERIFORMES_Furnariidae_Anabacerthia_ruficaudata,PASSERIFORMES,Furnariidae,Anabacerthia,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Anabacerthia_striaticollis_H111,PASSERIFORMES_Furnariidae_Anabacerthia_striaticollis,PASSERIFORMES,Furnariidae,Anabacerthia,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Anabacerthia_variegaticeps_L18075,PASSERIFORMES_Furnariidae_Anabacerthia_variegaticeps,PASSERIFORMES,Furnariidae,Anabacerthia,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Anabazenops_dorsalis_L2046,PASSERIFORMES_Furnariidae_Anabazenops_dorsalis,PASSERIFORMES,Furnariidae,Anabazenops,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Anabazenops_fuscus_SP94379,PASSERIFORMES_Furnariidae_Anabazenops_fuscus,PASSERIFORMES,Furnariidae,Anabazenops,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Anairetes_alpinus_NM34088,PASSERIFORMES_Tyrannidae_Anairetes_alpinus,PASSERIFORMES,Tyrannidae,Anairetes,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Anairetes_fernandezianus_CM120730,PASSERIFORMES_Tyrannidae_Anairetes_fernandezianus,PASSERIFORMES,Tyrannidae,Anairetes,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Anairetes_flavirostris_CU52375,PASSERIFORMES_Tyrannidae_Anairetes_flavirostris,PASSERIFORMES,Tyrannidae,Anairetes,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Anairetes_nigrocristatus_F391921,PASSERIFORMES_Tyrannidae_Anairetes_nigrocristatus,PASSERIFORMES,Tyrannidae,Anairetes,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Anairetes_parulus_A12192,PASSERIFORMES_Tyrannidae_Anairetes_parulus,PASSERIFORMES,Tyrannidae,Anairetes,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Anairetes_reguloides_LSU72421,PASSERIFORMES_Tyrannidae_Anairetes_reguloides,PASSERIFORMES,Tyrannidae,Anairetes,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Anas_platyrhynchos_GCA_002743455,ANSERIFORMES_Anatidae_Anas_platyrhynchos,ANSERIFORMES,Anatidae,Anas,Galloanserae,x,x,x,x,x,x,x
Anas_zonorhyncha_GCA_002224875,ANSERIFORMES_Anatidae_Anas_zonorhyncha,ANSERIFORMES,Anatidae,Anas,Galloanserae,x,x,x,x,x,x,x
Ancistrops_strigilatus_L10637,PASSERIFORMES_Furnariidae_Ancistrops_strigilatus,PASSERIFORMES,Furnariidae,Ancistrops,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
anhinga_anhinga,SULIFORMES_Anhingidae_Anhinga_anhinga,SULIFORMES,Anhingidae,Anhinga,Neoaves,Phaethoquornithes,Aequornithes,Feraequornithes,Pelecanimorphae,Pelecanes,x,x
